,driver_id,day_of_week,Hour,Minute,passenger_id,total_assigned_request,avg_rating,completed_rides,total_canceled_ride,ACR,status,ride_duration_hour,total_distance_covered_km,undiscounted_fare
241,3771362,2,18,7,3829963,42,4.333333333,31,11,0.74,COMPLETED,9.7225,157.27,151
242,3772692,3,4,42,5408281,52,4.208333333,39,13,0.75,COMPLETED,10.25527778,171.597,157
243,3782398,7,21,34,4479625,6,,0,6,0,CANCELED,,,
244,3785380,1,12,4,4617101,17,4,12,5,0.71,COMPLETED,2.993611111,54.64,93
245,3798866,5,9,34,4931383,7,5,5,2,0.71,COMPLETED,2.196388889,29.689,60
246,3801157,1,7,37,5390069,19,4,13,6,0.68,COMPLETED,2.596944444,52.354,116
247,3801331,1,11,14,4598123,12,5,6,6,0.5,COMPLETED,2.1475,39.063,163
248,3804886,2,10,34,5263268,70,4.464285714,48,22,0.69,COMPLETED,15.85,231.094,62
249,3809961,4,18,1,5189074,18,4.25,9,9,0.5,COMPLETED,2.0775,32.783,78
250,3810107,1,8,52,5082082,38,4.588235294,30,8,0.79,COMPLETED,7.733888889,152.199,110
251,3813528,1,18,33,3342501,56,4.533333333,25,31,0.45,COMPLETED,6.695833333,120.305,106
252,3813743,4,17,32,4147787,18,4,11,7,0.61,COMPLETED,2.764166667,47.755,121
253,3820335,6,16,30,4679189,17,4.4,9,8,0.53,COMPLETED,0.369722222,23.877,112
254,3820817,1,10,27,4826519,2,,1,1,0.5,CANCELED,0.214722222,3.836,
255,3820852,1,11,11,5033215,13,5,4,9,0.31,COMPLETED,1.105,15.693,125
256,3820991,7,17,12,4336389,29,4,22,7,0.76,COMPLETED,2.996111111,54.646,68
257,3821690,1,14,16,5220296,43,4.857142857,12,31,0.28,COMPLETED,3.499722222,50.995,161
258,3823863,4,19,14,4874575,19,4.214285714,16,3,0.84,COMPLETED,4.471111111,82.156,132
259,3827325,1,15,0,4336349,44,3.833333333,28,16,0.64,COMPLETED,6.0775,96.03,54
260,3827930,3,8,32,3911490,4,4,3,1,0.75,CANCELED,0.520555556,9.625,
261,3832175,2,18,30,5082639,47,4.266666667,31,16,0.66,COMPLETED,8.735,143.154,176
262,3832925,2,12,40,5172067,43,4.533333333,28,15,0.65,COMPLETED,5.645,100.331,112
263,3834479,4,17,17,3985734,14,4.5,9,5,0.64,COMPLETED,2.581111111,36.927,74
264,3837162,2,9,45,4064943,78,4.47826087,47,31,0.6,COMPLETED,15.76111111,263.434,108
265,3838783,1,16,38,5309278,27,4.1875,26,1,0.96,COMPLETED,5.570555556,118.318,74
266,3838939,2,17,23,4372939,13,4.571428571,11,2,0.85,COMPLETED,2.597222222,50.528,59
267,3840723,2,13,13,3866088,5,4,1,4,0.2,COMPLETED,0.239166667,5.24,109
268,3842575,4,23,3,5396281,38,4.444444444,28,10,0.74,COMPLETED,7.692777778,142.229,195
269,3849192,2,18,27,4772789,32,4.333333333,13,19,0.41,COMPLETED,4.278888889,66.688,157
270,3849877,5,14,11,4731110,7,4,5,2,0.71,COMPLETED,0.867222222,16.516,77
271,3850962,1,10,30,4447912,59,4.434782609,47,12,0.8,COMPLETED,11.53666667,230.291,141
272,3854963,5,6,45,4987531,59,4.458333333,44,15,0.75,COMPLETED,9.870555556,197.782,124
273,3864586,2,16,38,4564848,46,3.285714286,10,36,0.22,COMPLETED,1.945277778,28.943,115
274,3865589,2,17,40,3672709,130,4.41509434,101,29,0.78,COMPLETED,28.13638889,509.846,77
275,3867133,7,22,1,4861095,4,,1,3,0.25,CANCELED,0.043333333,0.216,
276,3868092,1,11,45,5189444,47,4.653846154,39,8,0.83,COMPLETED,9.986388889,157.053,110
277,3870107,1,14,39,3513320,24,4.4,16,8,0.67,COMPLETED,3.715277778,56.069,118
278,3876169,4,10,59,5417376,1,,0,1,0,CANCELED,,,
279,3876324,2,18,20,3782389,79,4.294117647,40,39,0.51,COMPLETED,8.921388889,135.983,66
280,3876668,5,15,4,4347059,102,4.363636364,47,55,0.46,COMPLETED,7.683888889,147.278,113
281,3876827,1,11,31,4508259,60,4.44,46,14,0.77,COMPLETED,9.245555556,139.118,115
282,3878003,2,13,34,3046568,68,4.466666667,34,34,0.5,COMPLETED,6.150277778,118.863,71
283,3879271,2,19,58,4697353,2,,0,2,0,CANCELED,,,
284,3884100,1,9,25,3207144,2,4,1,1,0.5,COMPLETED,0,8.552,158
